FICHE;SECT1;SECT2;ECH;NUMPERS;P2;P3;P4;P5;P6;P7;P8;P9;P10;Codif_PCS;P14;P15SECTEUR;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P1;P12A1;P12B1;P13A1;P12A2;P12B2;P13A2;P12A3;P12B3;P13A3;L10;L11;L12;P24A;P24B;Coef
2;01;033;080;01;1;1;54;2;1;1;6;1;2;36;2;954395;1;2;;5;5;1;5;5;5;1;1;5;;;;;;;;;;80;6;5;5;115.9820
2;01;033;080;02;2;2;54;2;2;1;4;8;2;54;;;;;;5;5;4;4;5;5;2;1;5;;;;;;;;;;;;5;5;115.9820
2;01;033;080;03;2;3;21;1;1;1;0;4;2;86;2;033003;1;3;;5;5;1;4;1;5;1;1;3;2;2;4;2;2;;;;50;;;1;1;115.9820
2;01;038;082;01;2;1;68;2;2;1;1;7;0;55;;;;;;1;5;3;3;5;3;1;1;5;;;;;;;;;;;;5;5;115.7969
2;01;006;083;01;2;1;56;1;1;1;2;1;0;51;2;001014;1;3;;5;5;1;2;5;5;1;1;5;;;;;;;;;;00;3;5;5;128.2149
2;01;006;083;02;1;2;55;1;1;1;2;1;0;21;2;001004;2;;3;1;5;1;5;5;5;1;1;5;;;;;;;;;;83;3;5;5;128.2149
2;01;006;083;03;1;3;18;1;1;1;0;5;0;85;2;028002;3;;3;2;5;5;1;1;1;1;1;1;2;1;;;;;;;16;;;1;5;128.2149
2;01;006;083;04;2;3;12;1;1;2;0;5;0;84;2;001006;;;;1;5;5;1;5;5;1;1;5;;;;;;;;;;;;5;5;128.2149
2;01;006;084;01;1;1;78;2;2;1;1;7;0;54;;;;;;5;5;1;1;5;5;1;1;5;;;;;;;;;;;;4;5;111.7186
2;01;006;084;02;2;2;78;2;2;1;1;7;0;82;;;;;;5;5;5;3;5;5;1;1;5;;;;;;;;;;;;3;5;111.7186
2;01;026;085;01;1;1;70;1;1;1;5;7;0;32;;;;;;4;5;1;5;3;5;1;1;4;1;1;;;;;;;00;;;5;3;111.7186
2;01;026;085;02;2;2;68;2;2;1;4;7;0;54;;;;;;4;5;5;1;3;5;1;1;4;1;1;;;;;;;00;;;5;3;111.7186
2;01;006;086;01;1;2;54;1;1;1;6;1;2;32;2;028013;1;3;;3;5;1;3;4;3;1;1;5;;;;;;;;;;93;3;4;5;111.7186
2;01;006;086;02;2;1;51;1;1;1;5;6;0;46;;;;;;3;5;3;3;4;4;2;1;5;;;;;;;;;;;;4;4;111.7186
2;01;021;087;01;1;1;60;1;2;1;3;7;0;21;;;;;;1;5;1;3;3;3;1;1;5;;;;;;;;;;;;5;5;115.9820
2;01;021;087;02;2;2;52;2;2;1;2;1;0;61;2;006013;1;3;;4;5;1;2;4;4;1;1;5;;;;;;;;;;05;3;5;5;115.9820
2;01;021;087;03;2;3;16;1;1;2;0;4;0;85;2;011005;;;;5;5;5;2;1;4;1;1;5;;;;;;;;;;;;1;3;115.9820
2;01;042;088;01;1;1;59;2;1;1;2;7;0;41;;;;;;3;5;3;3;3;3;1;1;5;;;;;;;;;;;;3;3;111.7186
2;01;042;088;02;2;2;58;2;2;1;4;1;0;47;2;031014;2;;1;1;5;3;3;1;3;1;1;4;2;1;;;;;;;51;73;4;4;1;111.7186
2;01;030;089;01;2;1;39;1;1;1;6;1;0;36;2;001015;1;3;;4;5;1;2;5;4;1;1;5;;;;;;;;;;94;2;5;4;115.9820
2;01;030;089;02;1;2;32;1;1;1;5;1;0;22;2;007018;1;3;;5;5;1;5;5;5;1;1;5;;;;;;;;;;06;2;5;5;115.9820
2;01;030;089;03;2;3;01;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;115.9820
2;01;026;091;01;1;1;83;2;2;1;1;7;0;61;;;;;;1;5;2;4;5;5;2;1;5;;;;;;;;;;;;5;5;111.7186
2;01;026;091;02;2;2;81;2;2;2;1;7;0;61;;;;;;5;5;5;4;5;5;2;2;5;;;;;;;;;;;;5;5;111.7186
2;01;040;095;01;1;1;35;1;1;1;4;1;0;36;2;001040;1;2;;4;5;1;3;5;5;1;1;5;;;;;;;;;;08;6;5;5;128.2149
2;01;040;095;02;2;2;35;1;1;1;5;2;0;46;2;005042;1;3;;4;5;1;2;4;4;1;1;5;;;;;;;;;;94;3;5;5;128.2149
2;01;040;095;03;1;3;08;2;2;2;0;5;0;83;2;001040;;;;1;5;5;1;4;4;1;1;5;;;;;;;;;;;;5;5;128.2149
2;01;040;095;04;1;3;03;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;128.2149
2;01;019;096;01;1;1;48;1;2;1;2;1;0;61;2;011003;1;3;;5;5;1;4;4;4;1;1;5;;;;;;;;;;06;5;4;4;115.7969
2;01;004;097;01;1;1;57;1;1;1;1;1;0;61;2;041009;1;3;;4;5;1;4;4;4;1;1;5;;;;;;;;;;07;6;5;5;111.7186
2;01;004;097;02;2;2;54;1;1;1;2;2;0;55;2;007018;1;3;;4;5;1;2;3;3;1;2;5;;;;;;;;;;88;3;5;5;111.7186
2;01;007;098;01;2;1;32;1;1;1;4;1;0;54;2;012011;1;3;;4;5;1;4;5;4;1;1;5;;;;;;;;;;05;2;4;5;115.7969
2;01;033;099;01;1;1;43;1;1;1;4;1;0;55;2;039001;1;3;;3;5;1;2;5;5;1;1;5;;;;;;;;;;08;2;5;5;149.9744
2;01;033;099;02;2;2;41;1;1;1;4;2;0;54;2;036007;1;1;;4;5;1;2;2;2;1;1;5;;;;;;;;;;95;2;5;5;149.9744
2;01;033;099;03;1;3;20;1;1;1;0;4;0;86;2;011006;1;3;;3;5;1;2;4;4;1;1;5;;;;;;;;;;;;5;5;149.9744
2;01;033;099;04;1;3;17;1;1;3;0;5;0;85;2;028002;;;;3;5;5;1;4;1;1;1;3;2;1;;;;;;;18;;;1;5;149.9744
2;01;033;099;05;1;3;12;2;2;2;0;5;0;84;2;001006;;;;3;5;5;1;1;5;1;1;3;2;1;;;;;;;15;;;1;5;149.9744
2;01;005;101;01;1;1;40;1;2;1;2;1;0;61;2;015003;1;1;;2;5;1;5;5;5;1;1;5;;;;;;;;;;05;2;5;5;115.9820
2;01;005;101;02;2;2;29;1;2;2;2;8;0;82;;;;;;3;5;5;2;5;5;2;1;5;;;;;;;;;;;;5;5;115.9820
2;01;005;101;03;1;3;01;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;115.9820
2;01;004;103;01;2;2;81;2;1;1;1;7;1;23;;;;;;5;5;5;2;5;5;1;1;5;;;;;;;;;;;;5;5;111.7186
2;01;004;103;02;1;1;80;1;2;1;2;7;0;55;;;;;;5;5;2;5;5;4;1;1;5;;;;;;;;;;;;5;5;111.7186
2;01;041;105;01;2;1;57;2;2;1;1;1;0;61;2;001041;2;;3;1;5;5;5;5;5;2;1;5;;;;;;;;;;89;2;5;5;128.2149
2;01;041;105;02;2;3;25;1;1;1;2;1;0;56;2;019009;1;2;;5;5;1;5;5;5;1;1;5;;;;;;;;;;07;2;5;5;128.2149
2;01;041;105;03;1;4;27;1;1;1;2;1;0;61;2;001021;1;2;;5;5;1;5;5;5;1;1;5;;;;;;;;;;08;2;5;5;128.2149
2;01;041;105;04;1;4;01;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;128.2149
2;01;034;106;01;1;1;37;1;1;1;2;1;0;46;2;700130;1;3;;3;5;1;2;5;5;1;1;5;;;;;;;;;;09;2;5;5;128.2149
2;01;034;106;02;2;2;34;1;1;1;4;2;0;54;2;037002;2;;1;3;5;1;3;5;5;1;1;4;2;1;;;;;;;33;94;6;5;2;128.2149
2;01;034;106;03;1;3;07;2;2;2;0;5;0;83;2;001032;;;;2;5;5;1;5;5;1;1;5;;;;;;;;;;;;5;5;128.2149
2;01;034;106;04;2;3;04;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;128.2149
2;01;030;107;01;2;2;49;1;1;1;3;1;0;54;2;018013;1;3;;2;1;5;4;5;5;1;1;5;;;;;;;;;;98;6;5;5;111.7186
2;01;030;107;02;1;1;48;1;2;1;2;1;0;21;2;006013;1;3;;2;2;1;5;4;5;1;1;5;;;;;;;;;;08;6;5;5;111.7186
2;01;034;109;01;1;1;50;1;2;1;2;1;0;61;2;001032;1;3;;4;5;1;3;4;5;2;1;5;;;;;;;;;;05;5;5;5;128.2149
2;01;034;109;02;2;2;49;1;2;1;2;2;0;54;2;013006;1;2;;4;5;1;3;4;4;1;1;5;;;;;;;;;;93;6;5;5;128.2149
2;01;034;109;03;2;3;24;1;1;1;3;1;0;51;2;006011;1;3;;4;5;1;3;4;4;2;1;5;;;;;;;;;;03;3;5;5;128.2149
2;01;034;109;04;1;3;22;1;1;1;5;1;0;55;2;044038;1;2;;4;5;1;3;3;3;2;1;5;;;;;;;;;;08;6;5;4;128.2149
2;01;039;111;01;1;1;70;2;2;1;2;7;1;10;;;;;;1;5;1;2;5;4;1;1;5;;;;;;;;;;;;5;4;111.7186
2;01;039;111;02;2;2;63;1;1;1;2;7;1;10;;;;;;1;5;1;2;5;4;1;1;5;;;;;;;;;;;;5;4;111.7186
2;01;019;112;01;1;1;34;1;1;1;6;1;0;47;2;968269;1;3;;4;5;1;4;5;5;1;1;5;;;;;;;;;;01;3;5;5;111.7186
2;01;019;112;02;2;2;29;1;1;1;6;1;0;54;2;006002;1;3;;4;5;1;2;5;5;1;1;5;;;;;;;;;;96;2;5;5;111.7186
2;01;028;113;01;1;2;65;1;2;1;3;7;0;61;;;;;;4;5;1;4;5;4;1;1;5;;;;;;;;;;;;5;4;115.9820
2;01;028;113;02;2;1;55;1;2;1;1;1;0;61;2;001015;1;3;;4;5;1;4;5;4;1;1;5;;;;;;;;;;90;3;5;4;115.9820
2;01;028;113;03;1;3;21;1;1;1;4;1;0;61;2;001014;1;3;;5;5;1;4;5;4;1;1;5;;;;;;;;;;08;3;5;4;115.9820
2;01;030;114;01;2;2;51;1;1;2;2;9;0;51;;;;;;1;5;5;2;4;4;1;1;5;;;;;;;;;;;;5;5;115.9820
2;01;030;114;02;1;1;48;1;1;1;2;1;0;61;2;041015;1;3;;1;5;1;5;4;4;1;1;5;;;;;;;;;;94;6;5;5;115.9820
