FICHE;DATEJJ;DATEMM;DATEAA;SECT1;SECT2;ECH;JOURSEM_DEP;M1;M2;M3;M4;M5;M6;M7A1 ;M8A1;M9A1;M10A1;M11A1 ;M12A1 ;M13A1 ;M7A2 ;M8A2;M9A2;M10A2;M11A2 ;M12A2 ;M13A2 ;M7A3 ;M8A3;M9A3;M10A3;M11A3 ;M12A3 ;M13A3 ;M7A4 ;M8A4;M9A4;M10A4;M11A4 ;M12A4 ;M13A4 ;Coef;L1 ;L2 ;L3 ;L4 ;L5A1 ;L32A1 ;L5A2;L32A2 ;L5A3 ;L32A3 ;L5A4 ;L32A4 ;L6 ;L7 ;L8 ;L9 ;L31 ;R1 ;R2 ;R3 ;R4 
1;09;04;09;60;020;073;3;1;1;1;1;1;1;1;3;2002;07;1;1;2;;;;;;;;;;;;;;;;;;;;;;115.0472;1;;3;1970;2002;2;;;;;;;2;4;;;11;;;;
1;26;03;09;60;043;075;3;1;1;1;1;1;3;1;1;1992;07;1;1;2;1;3;2006;06;1;1;2;1;3;2006;06;1;1;2;;;;;;;;154.4428;1;;3;1986;1994;2;2006;2;2008;2;;;6;3;;;08;;;000400;
1;05;05;09;60;018;076;1;1;2;1;2;1;2;1;3;1997;06;1;2;2;1;3;2008;04;3;2;2;;;;;;;;;;;;;;;119.4376;1;20;2;1996;2009;2;2008;2;;;;;2;3;;;11;;;;
1;07;04;09;60;041;078;1;1;1;1;1;1;1;1;3;2004;07;1;1;2;;;;;;;;;;;;;;;;;;;;;;115.0472;2;;2;1997;2004;2;;;;;;;1;3;;;05;;;000350;
1;17;04;09;60;021;080;4;2;4;1;1;1;1;1;1;2007;07;1;1;2;;;;;;;;;;;;;;;;;;;;;;115.0472;2;;4;2005;2007;2;;;;;;;2;4;;;05;;000860;000350;000300
1;18;04;09;60;042;081;5;1;1;1;1;1;2;1;1;2001;11;1;1;2;3;3;2004;08;1;1;2;;;;;;;;;;;;;;;119.4376;2;;1;1973;2001;2;2004;2;;;;;2;1;1;4;03;;;000300;
1;24;03;09;60;031;085;1;1;1;1;1;2;1;1;3;2006;06;1;1;2;;;;;;;;;;;;;;;;;;;;;;119.2470;1;;2;1976;2006;2;;;;;;;2;2;1;4;04;;;;
1;18;04;09;60;043;088;5;1;1;1;2;1;2;1;3;2004;06;1;1;2;1;3;2003;06;4;1;2;;;;;;;;;;;;;;;119.4376;2;;2;1986;2006;2;2005;2;;;;;3;2;1;4;08;;;000300;
1;27;03;09;60;029;089;4;1;1;1;1;2;1;1;1;1989;07;1;1;2;;;;;;;;;;;;;;;;;;;;;;115.0472;1;;3;1925;1990;2;;;;;;;1;4;;;01;;;000100;
1;26;03;09;60;013;090;3;2;4;1;1;1;2;1;1;1996;04;1;1;2;1;3;2006;06;1;1;2;;;;;;;;;;;;;;;115.0472;2;;;2008;2004;2;2006;2;;;;;1;4;;;11;;000185;000200;
