DCOMIRIS,HOSPITALm2,Sum of HOSPITAL_employee,HOSPITAL_customer,FITNESS_m2,FITNESS_employee,FITNESS_customers,PUBS_m2,PUBS_employee,PUBS_employee2,PUBS_customers,CINEMA_m2,CINEMA_employee,CINEMA_customers,MUSEUM_m2,MUSEUM_employee,MUSEUM_customers,SUM_lesiure,size
673910000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
673920000,,0,0.0,,0.0,0.0,320.0,6.0,6.0,524.8,,0.0,0.0,,0.0,0.0,524.8,525
673940000,,0,0.0,,0.0,0.0,57.8,1.1,1.1,94.8,,0.0,0.0,,0.0,0.0,94.8,95
673950000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
673960000,,0,0.0,,0.0,0.0,79.6,1.5,1.5,130.6,,0.0,0.0,,0.0,0.0,130.6,131
673970000,,0,0.0,5.7,1.0,1.3,31.3,1.0,1.0,51.4,,0.0,0.0,,0.0,0.0,52.7,53
673980000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
674000000,,0,0.0,,0.0,0.0,68.8,1.3,1.3,112.9,,0.0,0.0,,0.0,0.0,112.9,113
674010000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
674030000,,0,0.0,,0.0,0.0,65.6,1.2,1.2,107.6,,0.0,0.0,,0.0,0.0,107.6,108
674040000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
674050000,,0,0.0,,0.0,0.0,889.5,17.2,17.2,1458.7,,0.0,0.0,,0.0,0.0,1458.7,1459
674060000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
674070000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
674080000,,0,0.0,390.1,5.1,87.8,92.2,2.4,2.4,151.2,,0.0,0.0,,0.0,0.0,239.0,239
674090000,,0,0.0,,0.0,0.0,465.2,8.7,8.7,763.0,,0.0,0.0,,0.0,0.0,763.0,763
674100000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
674110000,,0,0.0,4498.1,39.1,1012.1,463.0,8.7,8.7,759.3,,0.0,0.0,,0.0,0.0,1771.4,1772
674120000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
674130000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
674140000,,0,0.0,,0.0,0.0,41.8,1.0,1.0,68.6,,0.0,0.0,,0.0,0.0,68.6,69
674150000,,0,0.0,34.1,1.0,7.7,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,7.7,8
674160000,,0,0.0,,0.0,0.0,243.2,4.6,4.6,398.9,,0.0,0.0,,0.0,0.0,398.9,399
674170000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
674180000,,0,0.0,100.6,3.0,22.6,69.0,1.3,1.3,113.2,,0.0,0.0,,0.0,0.0,135.8,136
674200000,,0,0.0,180.7,2.1,40.6,89.2,2.3,2.3,146.3,,0.0,0.0,,0.0,0.0,186.9,187
674210000,,0,0.0,,0.0,0.0,166.4,3.1,3.1,272.9,,0.0,0.0,,0.0,0.0,272.9,273
674220000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
674230000,,0,0.0,,0.0,0.0,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,262.4,263
674240000,,0,0.0,,0.0,0.0,89.4,1.7,1.7,146.6,,0.0,0.0,,0.0,0.0,146.6,147
674250000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
674260000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
674270000,,0,0.0,123.0,2.0,27.7,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,27.7,28
674280000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
674290000,,0,0.0,1669.8,20.6,375.7,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,375.7,376
674300000,,0,0.0,103.8,2.0,23.4,72.7,1.4,1.4,119.2,,0.0,0.0,,0.0,0.0,142.5,143
674320000,,0,0.0,268.0,2.1,60.3,141.5,2.7,2.7,232.0,,0.0,0.0,,0.0,0.0,292.3,293
674330000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
674340000,,0,0.0,2297.7,18.4,517.0,320.0,6.0,6.0,524.8,,0.0,0.0,,0.0,0.0,1041.8,1042
674350000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
674360000,,0,0.0,,0.0,0.0,75.8,2.2,2.2,124.3,,0.0,0.0,,0.0,0.0,124.3,125
674370101,29497.7,383.4695566,1032.4,,0.0,0.0,320.0,6.0,6.0,524.8,,0.0,0.0,,0.0,0.0,524.8,525
674370102,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
674370103,,0,0.0,4545.5,37.2,1022.7,229.8,4.3,4.3,376.9,,0.0,0.0,,0.0,0.0,1399.6,1400
674370104,,0,0.0,3741.1,29.9,841.8,2560.0,48.1,48.1,4198.4,,0.0,0.0,13707.6,228.9,2741.5,7781.7,7782
674370105,,0,0.0,,0.0,0.0,640.0,12.0,12.0,1049.6,,0.0,0.0,,0.0,0.0,1049.6,1050
674370109,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
674380000,,0,0.0,,0.0,0.0,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,262.4,263
674400000,,0,0.0,,0.0,0.0,92.6,1.7,1.7,151.8,,0.0,0.0,,0.0,0.0,151.8,152
674410000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
674420000,,0,0.0,652.2,5.7,146.7,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,409.1,410
674430000,,0,0.0,,0.0,0.0,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,262.4,263
674440000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
674450000,,0,0.0,168.6,1.3,37.9,223.4,4.2,4.2,366.3,,0.0,0.0,,0.0,0.0,404.3,405
674460000,,0,0.0,,0.0,0.0,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,262.4,263
674470101,,0,0.0,,0.0,0.0,50.3,1.0,1.0,82.5,,0.0,0.0,,0.0,0.0,82.5,83
674470102,,0,0.0,3363.9,26.9,756.9,480.0,9.0,9.0,787.2,,0.0,0.0,,0.0,0.0,1544.1,1545
674470103,49705.3,646.1687869,1739.7,2791.5,22.6,628.1,1536.7,28.9,28.9,2520.2,,0.0,0.0,,0.0,0.0,3148.3,3149
674470201,,0,0.0,,0.0,0.0,480.0,9.0,9.0,787.2,,0.0,0.0,,0.0,0.0,787.2,788
674470202,,0,0.0,5284.5,42.3,1189.0,1591.3,29.9,29.9,2609.7,,0.0,0.0,,0.0,0.0,3798.7,3799
674470203,,0,0.0,,0.0,0.0,2377.2,44.7,44.7,3898.6,,0.0,0.0,,0.0,0.0,3898.6,3899
674470301,309.9,4.0287104,10.8,7506.5,61.0,1689.0,1677.1,31.5,31.5,2750.5,,0.0,0.0,1048.8,17.5,209.8,4649.2,4650
674470302,,0,0.0,200.4,1.6,45.1,252.7,4.8,4.8,414.5,,0.0,0.0,,0.0,0.0,459.6,460
674470401,,0,0.0,,0.0,0.0,374.6,7.0,7.0,614.3,,0.0,0.0,,0.0,0.0,614.3,615
674470402,,0,0.0,10121.4,81.3,2277.3,800.0,15.0,15.0,1312.0,,0.0,0.0,,0.0,0.0,3589.3,3590
674470501,,0,0.0,,0.0,0.0,859.0,16.1,16.1,1408.7,,0.0,0.0,,0.0,0.0,1408.7,1409
674470502,1793.4,23.3136176,62.8,,0.0,0.0,1806.4,34.1,34.1,2962.5,,0.0,0.0,,0.0,0.0,2962.5,2963
674480000,13645.5,178.2751487,478.3,3567.3,31.1,802.7,482.9,9.1,9.1,791.9,,0.0,0.0,5770.5,96.4,1154.1,2748.6,2749
674490000,,0,0.0,,0.0,0.0,37.6,1.0,1.0,61.7,,0.0,0.0,,0.0,0.0,61.7,62
674500000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
674510000,,0,0.0,,0.0,0.0,222.6,4.2,4.2,365.1,,0.0,0.0,,0.0,0.0,365.1,366
674520000,,0,0.0,,0.0,0.0,60.9,1.1,1.1,99.9,,0.0,0.0,,0.0,0.0,99.9,100
674530000,,0,0.0,,0.0,0.0,53.9,1.0,1.0,88.4,,0.0,0.0,,0.0,0.0,88.4,89
674540000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
674550000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
674560000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
674580000,,0,0.0,4213.0,40.8,947.9,800.0,15.0,15.0,1312.0,,0.0,0.0,,0.0,0.0,2259.9,2260
674590000,,0,0.0,,0.0,0.0,56.0,1.1,1.1,91.8,,0.0,0.0,,0.0,0.0,91.8,92
